,PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
0,Adam Flagler,PG,-%,8.00,9.25,6' 1.00'',,8' 1.00'',191.8,6' 4.50''
1,Adama Sanogo,C,-%,9.75,10.00,6' 7.25'',,9' 0.50'',257.8,7' 2.75''
2,Adem Bona,C,-%,9.25,10.00,6' 8.25'',,9' 2.50'',243.4,
3,Amari Bailey,SG,-%,8.00,9.25,6' 3.25'',,8' 7.50'',190.8,6' 7.00''
4,Amen Thompson,SG,-%,8.50,8.50,6' 5.75'',,8' 7.50'',214.2,7' 0.00''
5,Andre Jackson Jr.,SF,-%,8.25,9.50,6' 5.50'',,8' 7.00'',198.4,6' 9.75''
6,Anthony Black,PG,-%,8.25,9.50,6' 5.75'',,8' 6.50'',210.0,6' 7.50''
7,Arthur Kaluma,PF,-%,8.50,10.00,6' 6.25'',,8' 7.50'',221.8,7' 0.50''
8,Ausar Thompson,SG,-%,8.75,9.25,6' 5.75'',,8' 8.00'',218.2,7' 0.00''
9,Azuolas Tubelis,PF,-%,9.00,10.50,6' 8.75'',,9' 0.00'',234.8,6' 11.00''
10,Ben Sheppard,SG,-%,8.50,9.50,6' 5.25'',,8' 4.00'',194.6,6' 7.75''
11,Bilal Coulibaly,SG-SF,-%,-,-,,,,-,
12,Bobi Klintman,PF,-%,-,-,,,,-,
13,Brandin Podziemski,SG,-%,8.25,10.00,6' 3.75'',,8' 0.50'',203.8,6' 5.50''
14,Brandon Miller,SF,-%,-,-,,,,-,
15,Brice Sensabaugh,SF,-%,-,-,,,,-,
16,Cam Whitmore,SF,-%,8.00,8.25,6' 5.75'',,8' 7.50'',235.0,6' 8.50''
17,Cason Wallace,PG,-%,8.50,9.25,6' 2.50'',,8' 5.00'',195.2,6' 8.50''
18,Chris Livingston,SF,-%,8.50,9.00,6' 6.00'',,8' 8.50'',219.2,6' 11.25''
19,Colby Jones,SG,-%,8.25,8.50,6' 4.50'',,8' 7.00'',199.2,6' 8.00''
20,Coleman Hawkins,PF,-%,8.75,8.75,6' 8.50'',,9' 0.50'',224.4,7' 0.25''
21,DaRon Holmes II,C,-%,8.50,9.50,6' 9.00'',,9' 1.00'',220.8,7' 0.50''
22,Dariq Whitehead,SG,-%,8.50,10.00,6' 5.75'',,8' 7.50'',217.2,6' 10.25''
23,Dereck Lively Jr.,C,-%,-,-,,,,-,
24,Dillon Mitchell,PF,-%,8.25,9.50,6' 6.75'',,8' 9.00'',193.0,6' 10.00''
25,Drew Timme,C,-%,9.00,10.00,6' 8.75'',,9' 0.50'',243.2,7' 1.75''
26,Emoni Bates,SF,-%,8.00,8.25,6' 8.25'',,8' 9.00'',179.2,6' 9.00''
27,GG Jackson,PF,-%,8.50,10.00,6' 8.25'',,8' 10.00'',214.4,6' 11.50''
28,Gradey Dick,SG,-%,8.25,9.00,6' 6.25'',,8' 5.00'',204.0,6' 8.75''
29,Grant Nelson,PF,-%,9.00,9.50,6' 10.00'',,8' 10.50'',223.4,7' 0.00''
30,Isaiah Wong,SG,-%,8.25,9.50,6' 2.50'',,8' 1.50'',178.4,6' 6.75''
31,Jaime Jaquez Jr.,SF,-%,8.50,9.50,6' 6.00'',,8' 3.50'',226.4,6' 9.50''
32,Jalen Hood-Schifino,PG,-%,9.00,9.75,6' 4.25'',,8' 4.50'',216.6,6' 10.25''
33,Jalen Pickett,PG,-%,8.50,7.50,6' 2.00'',,8' 2.50'',197.8,6' 7.25''
34,Jalen Slawson,PF,-%,9.00,9.00,6' 6.50'',,8' 10.00'',221.6,6' 11.75''
35,Jalen Wilson,SF,-%,8.25,9.00,6' 5.50'',,8' 3.50'',230.2,6' 8.00''
36,James Nnaji,C,-%,-,-,,,,-,
37,Jarace Walker,PF,-%,9.00,10.00,6' 6.50'',,8' 8.50'',248.6,7' 2.50''
38,Jaylen Clark,SG,-%,8.50,9.00,6' 4.00'',,8' 5.50'',204.2,6' 9.00''
39,Jett Howard,SF,-%,-,-,,,,-,
40,Jordan Hawkins,SG,-%,8.25,8.75,6' 4.25'',,8' 5.50'',186.0,6' 6.75''
41,Jordan Miller,SF,-%,8.50,9.25,6' 4.50'',,8' 7.50'',191.6,6' 11.75''
42,Jordan Walsh,SF,-%,8.75,8.50,6' 5.75'',,8' 11.00'',204.0,7' 1.75''
43,Judah Mintz,PG,-%,8.25,9.25,6' 3.00'',,8' 2.00'',176.4,6' 3.50''
44,Julian Phillips,SF,-%,8.50,9.00,6' 6.75'',,8' 6.00'',196.6,6' 11.50''
45,Julian Strawther,SF,-%,8.25,8.25,6' 6.00'',,8' 9.00'',208.8,6' 9.25''
46,Kevin McCullar,SF,-%,-,-,,,,-,
47,Keyontae Johnson,SF,-%,9.00,9.00,6' 4.00'',,8' 7.00'',238.6,7' 0.00''
48,Keyonte George,SG,-%,-,-,,,,-,
49,Kobe Brown,PF,-%,8.75,9.75,6' 6.50'',,8' 10.50'',252.2,7' 0.75''
50,Kobe Bufkin,SG,-%,8.00,9.25,6' 4.25'',,8' 6.50'',186.8,6' 7.75''
51,Kris Murray,PF,-%,8.50,9.00,6' 7.75'',,8' 10.00'',212.8,6' 11.75''
52,Leonard Miller,PF,-%,9.50,10.50,6' 9.25'',,8' 10.50'',212.8,7' 2.00''
53,Marcus Sasser,PG,-%,8.75,9.50,6' 1.25'',,8' 3.50'',195.6,6' 7.00''
54,Maxwell Lewis,SG,-%,8.75,9.50,6' 6.25'',,8' 8.50'',207.2,7' 0.00''
55,Mike Miles Jr.,PG,-%,8.00,8.25,6' 0.75'',,8' 0.00'',205.0,6' 0.50''
